i,x,y
1,37.43935167,541.2090699
2,612.1759509,494.3166877
3,38.13123382,353.1484582
4,53.44180811,131.4849014
5,143.0606355,631.7200954
6,689.9451267,468.5354999
7,112.7478816,529.4177578
8,141.4875865,504.8184856
9,661.0513902,445.9375182
10,98.78990366,384.5926031
11,697.3881697,180.3962284
12,536.489419,287.2279085
13,192.4067321,20.43940593
14,282.7865259,229.8001556
15,240.8251726,281.5141437
16,246.9281323,322.4613321
17,649.7313216,62.33315753
18,352.9658563,666.7873102
19,633.3923677,534.9398454
20,488.3117994,437.486944
21,141.4039287,228.4325551
22,17.36326126,240.2407069
23,397.5586451,231.3591209
24,565.7853781,282.3858749
25,475.8975387,468.5392706
26,322.4224567,550.3165478
27,397.5586634,74.75883878
28,672.8618339,432.882641
29,571.218968,530.2616992
30,104.6531166,482.8224769
31,356.7098389,67.64771317
32,400.4070256,253.679448
33,282.3036243,426.8380501
34,58.77669884,507.1712387
35,189.7506224,460.3815234
36,659.912412,226.6284156
37,639.0307636,467.2302301
38,415.0258357,233.3045376
39,547.2662016,161.6589278
40,616.6547903,339.3409309
41,494.8592427,148.1217856
42,629.9980812,433.4548164
43,471.1014312,314.2219308
44,138.2440514,137.167992
45,91.58475567,110.0203008
46,390.6972812,423.9774318
47,565.1617825,429.1598153
48,54.52489804,438.5515408
49,334.350833,153.7969238
50,531.0291025,612.3874828
51,475.7345906,385.7844619
52,228.8325219,410.446194
53,578.3805348,321.3303495
54,358.9170574,404.4670353
55,486.4648555,593.0429937
56,343.1693708,509.3123571
57,530.3626972,137.6881276
58,498.8065475,576.2102675
59,224.3182716,312.467749
60,595.8360733,81.81300514
61,661.5588724,217.0456944
62,43.68920455,305.4722789
63,79.46534525,445.9641738
64,210.4163247,130.7151137
65,432.2642292,629.4092661
66,623.2487161,69.18928508
67,436.519474,282.9356456
68,59.41632655,40.12802344
69,630.9230074,230.3429888
70,579.326554,601.0359411
71,117.8624507,112.9796834
72,297.7912566,166.3131887
73,22.76427037,455.5340094
74,259.709581,10.61999259
75,342.3579874,599.3880183
76,10.02609501,488.9310558
77,315.2926064,273.2275476
78,220.7044919,270.0819746
79,192.118606,314.1839923
80,271.5042719,225.292199
81,530.7320005,504.0670155
82,42.53314417,656.3645163
83,396.1274793,539.4648066
84,118.6631474,508.7129104
85,395.6913877,699.5376048
86,559.0157106,560.8866941
87,22.64710359,526.2470393
88,135.6377085,325.8409902
89,141.4507014,485.2477928
90,396.7741299,460.7557115
91,87.74945628,19.61701291
92,350.424564,420.6531187
93,216.7010817,466.4816411
94,130.9237737,351.1491733
95,72.63298567,645.7852219
96,144.600295,457.4224284
97,212.3725077,594.9216893
98,49.91867865,541.4350825
99,656.6943526,558.1109594
100,176.5941624,648.5239953
101,500.38252,198.7428378
102,634.3178678,612.8291643
103,59.75373727,551.6321887
104,15.21457651,143.0441929
105,283.0054379,376.443953
106,146.5389001,39.42317943
107,101.8685605,635.098685
108,588.1968537,580.5946977
109,457.2628633,350.0164047
110,537.466368,472.5842277
111,269.3669099,367.4763637
112,239.9045384,102.6297653
113,88.46775004,384.0507209
114,658.9133693,583.9575181
115,97.73591463,157.4558658
116,506.6191384,233.0022156
117,500.2566898,64.91363935
118,594.4048565,275.8741869
119,66.23081466,24.13173876
120,598.4162994,414.5557574
121,172.3088331,344.3963466
122,299.4812852,251.8295121
123,303.8379895,21.05260638
124,197.896927,512.3888961
125,56.01995677,243.0663818
126,255.5566183,448.8651882
127,608.4256112,222.5421309
128,70.27227033,77.92270264
129,398.2299,119.5576574
130,635.4970237,133.3225903
131,378.3484559,272.2907677
132,484.8029663,677.0730379
133,278.8710883,299.9308771
134,381.6537301,360.3337603
135,557.6070708,595.3185092
136,249.0589749,76.65951126
137,562.9048788,670.0382113
138,398.5504366,392.6493259
139,590.8939721,370.7414914
140,558.2008004,0.419881451
141,461.4114714,530.5254969
142,354.7242882,685.4045362
143,193.6611296,669.7432521
144,352.3140807,140.3273324
145,308.434571,115.205427
146,299.588137,530.5889619
147,334.2748764,152.1494569
148,690.9658586,134.5793307
149,48.07981241,270.9680674
150,91.64676477,166.3541158
